timestamp,state,candidate_id,party,votes,votes_estimated,win_probability,ranking,total_votes,total_votes_estimated,total_votes_remaining,eevp
1730854805,tennessee,harris-k,DEM,0,1114968,0.0027,2,0,3038412,3039929,0
1730854805,tennessee,trump-d,GOP,0,1858278,0.9973,1,0,3038412,3039929,0
1730854891,tennessee,trump-d,GOP,0,1858331,1,1,0,3038412,3039569,0
1730854891,tennessee,harris-k,DEM,0,1114930,0,2,0,3038412,3039569,0
1730854921,tennessee,harris-k,DEM,405,1114930,0,2,2310,3038412,3039569,0.07
1730854921,tennessee,trump-d,GOP,1898,1858331,1,1,2310,3038412,3039569,0.07
1730854965,tennessee,harris-k,DEM,405,1114919,0,2,2310,3038412,3037291,0.07
1730854965,tennessee,trump-d,GOP,1898,1858365,1,1,2310,3038412,3037291,0.07
1730854998,tennessee,harris-k,DEM,1175,1114919,0,2,6905,3038412,3037291,0.2
1730854998,tennessee,trump-d,GOP,5693,1858365,1,1,6905,3038412,3037291,0.2
1730855051,tennessee,harris-k,DEM,1175,1114736,0,2,6905,3038412,3033009,0.2
1730855051,tennessee,trump-d,GOP,5693,1858601,1,1,6905,3038412,3033009,0.2
1730855078,tennessee,trump-d,GOP,9273,1858601,1,1,11198,3038412,3033009,0.33
1730855078,tennessee,harris-k,DEM,1858,1114736,0,2,11198,3038412,3033009,0.33
1730855128,tennessee,harris-k,DEM,8302,1114736,0,2,46406,3038412,3033009,1.38
1730855128,tennessee,trump-d,GOP,37760,1858601,1,1,46406,3038412,3033009,1.38
1730855146,tennessee,harris-k,DEM,8302,1114502,0,2,46406,3038412,2993444,1.38
1730855146,tennessee,trump-d,GOP,37760,1859090,1,1,46406,3038412,2993444,1.38
1730855221,tennessee,harris-k,DEM,8302,1114172,0,2,46406,3038412,2992987,1.38
1730855221,tennessee,trump-d,GOP,37760,1859550,1,1,46406,3038412,2992987,1.38
1730855306,tennessee,trump-d,GOP,37760,1859708,1,1,46406,3038412,2993338,1.38
1730855306,tennessee,harris-k,DEM,8302,1114031,0,2,46406,3038412,2993338,1.38
1730855317,tennessee,harris-k,DEM,11630,1114031,0,2,64893,3038412,2993338,1.92
1730855317,tennessee,trump-d,GOP,52778,1859708,1,1,64893,3038412,2993338,1.92
1730855330,tennessee,harris-k,DEM,11630,1113623,0,2,64893,3038412,2974824,1.92
1730855330,tennessee,trump-d,GOP,52778,1860286,1,1,64893,3038412,2974824,1.92
1730855379,tennessee,harris-k,DEM,31188,1113623,0,2,139341,3038412,2974824,4.13
1730855379,tennessee,trump-d,GOP,106987,1860286,1,1,139341,3038412,2974824,4.13
1730855417,tennessee,trump-d,GOP,135877,1860286,1,1,175401,3038412,2974824,5.2
1730855417,tennessee,harris-k,DEM,38055,1113623,0,2,175401,3038412,2974824,5.2
1730855459,tennessee,harris-k,DEM,40560,1113623,0,2,186942,3038412,2974824,5.54
1730855459,tennessee,trump-d,GOP,144828,1860286,1,1,186942,3038412,2974824,5.54
1730855460,tennessee,harris-k,DEM,40560,1112189,0,2,186942,3038412,2851561,5.54
1730855460,tennessee,trump-d,GOP,144828,1862460,1,1,186942,3038412,2851561,5.54
