timestamp,market,probability
1730854802,winner,0.706
1730855702,winner,0.6845
1730856602,winner,0.7015
1730857502,winner,0.7305
1730858402,winner,0.711
1730859302,winner,0.7245
1730860202,winner,0.758
1730861102,winner,0.77
1730862002,winner,0.828
1730862902,winner,0.901
1730863802,winner,0.8785
1730864702,winner,0.9255
1730865602,winner,0.9305
1730866502,winner,0.94
1730867402,winner,0.9495
1730868302,winner,0.953
1730869202,winner,0.9695
1730870102,winner,0.9675
1730871002,winner,0.967
1730871902,winner,0.9715
1730872802,winner,0.9865
1730873702,winner,0.9885
1730874602,winner,0.9925
1730875502,winner,0.9885
1730876402,winner,0.9935
1730877302,winner,0.994
1730878202,winner,0.9955
1730879102,winner,0.9955
1730880002,winner,0.9945
1730880902,winner,0.9945
1730881802,winner,0.9975
1730882702,winner,0.9955
1730883602,winner,0.9955
1730884502,winner,0.9945
1730885402,winner,0.9945
1730886302,winner,0.9945
1730887202,winner,0.9945
1730888102,winner,0.9965
1730889002,winner,0.9955
1730889902,winner,0.9955
1730890802,winner,0.997
1730891702,winner,0.9975
1730892602,winner,0.9985
1730893502,winner,0.9985
1730894402,winner,0.9985
1730895302,winner,0.9985
1730896202,winner,0.9985
1730897102,winner,0.9975
1730898002,winner,0.9975
1730898902,winner,0.9985
1730899802,winner,0.9985
1730900702,winner,0.9825
1730901602,winner,0.9955
1730902502,winner,0.9965
1730903402,winner,0.9975
1730904302,winner,0.9975
1730905202,winner,0.9975
1730906102,winner,0.9985
1730907002,winner,0.998
1730907902,winner,0.998
1730908802,winner,0.998
1730909702,winner,0.998
1730910602,winner,0.998
1730911502,winner,0.998
1730912402,winner,0.998
1730913302,winner,0.998
1730914202,winner,0.998
1730915102,winner,0.998
1730916002,winner,0.998
1730916902,winner,0.998
1730917802,winner,0.998
1730918702,winner,0.998
1730919602,winner,0.998
1730920502,winner,0.998
1730921402,winner,0.998
1730922302,winner,0.998
1730923202,winner,0.998
1730924102,winner,0.998
1730925002,winner,0.998
1730925902,winner,0.998
1730926802,winner,0.998
1730927702,winner,0.998
1730928602,winner,0.998
1730929502,winner,0.998
1730930402,winner,0.998
1730931302,winner,0.998
1730932202,winner,0.998
1730933102,winner,0.998
1730934002,winner,0.998
1730934902,winner,0.998
1730935802,winner,0.998
1730936702,winner,0.998
1730937602,winner,0.998
1730938502,winner,0.998
1730939402,winner,0.998
1730940302,winner,0.998
